original_title,original_language,adult,budget,backdrop_path,homepage,id,imdb_id,overview,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,genre,production_companies,belongs_to_collection,spoken_languages,production_countries,review_count,review_content,keywords,cast_size,crew_size,director
Everywhere at the End of Time,en,False,0,,,760933,,"The debut film from director Eden Poag, an intimate portrait of dementia told through experimental film.",6.419,/sMrxUD6ceg15AIiBjIxUz0tkcKU.jpg,2020-12-31,0,104.0,In Production,It’s Just A Burning Memory...,Everywhere at the End of Time,False,0.0,0,,,,"en,",,0,,,0,2,"Eden Poag,"
Baby,es,False,0,,,751496,tt9760852,"A young drug addict who has lost touch with her rich family hits rock bottom when she sells her new-born baby to child traffickers. She soon regrets her decision and finds the courage and strength to get him back. To do so, she must follow a trail into the woods and find an eerie house where the old lady she met, her albino servant and a girl with a strange gait, all live together. Nothing could have prepared her for the horror she is about to discover.",6.412,/fRFwCddmRZbOTeuIZ4mLTDgNeUI.jpg,2020-12-18,0,106.0,Released,,Baby,False,0.0,0,"Thriller,Drama,","Frágil Zinema,La Charito Films,",,"xx,",,0,,,4,2,"Juanma Bajo Ulloa,"
You Are My Home,en,False,0,/8pJEt4xmuSxpGLIroZZq8LMufMC.jpg,,750276,tt6693156,"This drama follows the relationship of a heartbroken woman and a young immigrant girl who has lost her mother at the border, coming together just before Christmas.",6.408,/zCwtCgKddO9jwMhWEAoxaJdo8Ba.jpg,2020-12-04,0,0.0,Released,,You Are My Home,False,0.0,0,"Family,","Future Sight Entertainment,Pantheon Entertainment Corporation,",,,"US,",0,,,7,9,"Juanma Bajo Ulloa,"
머리카락,ko,False,0,/o2KuSBY3BTpin5WVfQO49PJWJ4p.jpg,,730242,,,6.383,/2IuawHK2bCzxJTDhgjKOUAZWV5R.jpg,2020-12-10,0,0.0,Released,,Escape the Corset,False,0.0,0,"Documentary,",,,"ko,","KR,",0,,"feminism,corsets,",0,1,"Lee Mi-hae,"
Shokuner Lobh,en,False,0,,,711234,,"Shokuner Lov is a movie directed by Anindya Bikas Dutta featuring Parambrata Chatterjee, Joy Sengupta.",6.38,/nnhVQPtuQ4LGbuPKWZ8deQK0Abv.jpg,2020-12-31,0,0.0,Post Production,,Shokuner Lobh,False,0.0,0,,"Eros Productions,",,"bn,","IN,",0,,,2,1,"Anindya Bikash Datta,"
In a Whisper,es,False,0,,,651154,tt11383174,"An intimate and revealing autoethnographic documentary about uprootedness, motherhood, love of film, friendship and freedom.  Two filmmakers who have been best friends since childhood, both part of the Cuban diaspora, share their intimate and emotional journey while they try to find themselves and each other in a foreign land.",6.345,/uB1fnxyxa4NJGM9vlPbUZWGPBko.jpg,2020-12-18,0,80.0,Released,,In a Whisper,False,0.0,0,"Documentary,","Matriuska Producciones S.L.,Perspective Films,Producciones de la 5ta Avenida,PCT Cinéma & Télévision S.A.,",,"es,fr,","CU,FR,ES,CH,",0,,,0,4,"Patricia Pérez Fernández,"
"Gump – pes, který naučil lidi žít",cs,False,0,,,725133,,,6.326,/fOiEQA9ixwJ7xN0aZGtfKomPBvr.jpg,2020-12-10,0,0.0,Released,,"Gump – pes, který naučil lidi žít",False,0.0,0,,,,"cs,","CZ,",0,,"based on novel or book,",7,3,"F. A. Brabec,"
Renaceres,es,False,0,,,773703,,,6.285,/iKbiXu5bE11J60FxctNKl6pTZcd.jpg,2020-12-18,0,0.0,In Production,,Renaceres,False,0.0,0,"Documentary,",,,"es,",,0,,"covid-19,coronavirus,",0,1,"Lucas Figueroa,"
劇場版 仮面ライダーゼロワン REAL×TIME,ja,False,0,/b6gTSFOHnP1gzu3TXNgHAh3gLNs.jpg,http://www.kamenrider-winter.com/,756982,,"In Kamen Rider Zero-One the Movie, the world will end and eternal life is born. Aruto transforms into Kamen Rider Zero-One Hell Rising Hopper as he will fight the new enemy, Kamen Rider Eden! What makes this dynamic interesting is that Kamen Rider Eden's name means ""paradise"", while Kamen Rider Zero-One's new form represents ""hell""! How did Aruto obtain this new form?!",6.28,/5lkpaifDwtYBdWSuXosYtHVCvWi.jpg,2020-12-18,0,0.0,In Production,,Kamen Rider Zero-One The Movie: REAL × TIME,False,0.0,0,,,,"ja,",,0,,"tokusatsu,",15,2,"Teruaki Sugihara,"
私をくいとめて,ja,False,0,/aE6kh8Xcbs2LMThUtEhWiCaf3fm.jpg,https://kuitomete.jp/,726620,tt13332890,"Mitsuko Kuroda (Non) is 31-years-old and single. She enjoys her life as a single woman. A big reason why she enjoys her single life is that she has counsellor ""A"" in her mind, which is her other self. Whenever she does not know what do, ""A"" gives her the right answers. She believes her happy and peaceful single life with ""A"" will continue, but she falls in love with Tada-kun (Kento Hayashi). He is a salesperson and younger than her. --asianwiki",6.245,/troWHuL6WmsF0J784iJprhUPv2Y.jpg,2020-12-18,0,133.0,Post Production,,Hold Me Back,False,0.0,0,,"Nikkatsu Corporation,",,"ja,","JP,",0,,,6,3,"Akiko Ohku,"
